Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
BulletJournal,com.bulletjournal.util,DeltaContent,serialize,4,2,3
BulletJournal,com.bulletjournal.util,DeltaContent,DeltaContent,5,1,1
BulletJournal,com.bulletjournal.util,DeltaContent,adjustDelta,50,12,1
BulletJournal,com.bulletjournal.util,DeltaContent,addToList,16,3,5
BulletJournal,com.bulletjournal.util,DeltaContent,getHtml,3,1,0
BulletJournal,com.bulletjournal.util,DeltaContent,setHtml,3,1,1
BulletJournal,com.bulletjournal.util,DeltaContent,hasDeltaMap,3,1,0
BulletJournal,com.bulletjournal.util,DeltaContent,getDeltaMap,3,1,0
BulletJournal,com.bulletjournal.util,DeltaContent,getDeltaOpsString,4,1,0
BulletJournal,com.bulletjournal.util,DeltaContent,setDeltaMap,3,1,1
BulletJournal,com.bulletjournal.util,DeltaContent,getDiff,3,1,0
BulletJournal,com.bulletjournal.util,DeltaContent,getDiffOrDefault,3,1,1
BulletJournal,com.bulletjournal.util,DeltaContent,setDiff,3,1,1
BulletJournal,com.bulletjournal.util,DeltaContent,toJSON,3,1,0
BulletJournal,com.bulletjournal.util,DeltaConverter,webToMobileEmoji,7,1,1
BulletJournal,com.bulletjournal.util,DeltaConverter,nameToSurrogatePair,13,2,1
BulletJournal,com.bulletjournal.util,WebToMobile,webToMobileEmoji,7,1,1
BulletJournal,com.bulletjournal.util,EmojiConverter,nameToSurrogatePair,13,2,1
BulletJournal,com.bulletjournal.util,ContentDiffTool,ContentDiffTool,2,1,0
BulletJournal,com.bulletjournal.util,ContentDiffTool,computeDiff,3,1,2
BulletJournal,com.bulletjournal.util,ContentDiffTool,applyDiff,13,3,2
BulletJournal,com.bulletjournal.util,MathUtil,round,9,2,2
BulletJournal,com.bulletjournal.util,MathUtil,getRandomNumber,3,1,2
BulletJournal,com.bulletjournal.redis.models,EtagTypeTest,of,5,1,0
BulletJournal,com.bulletjournal.redis.models,UserAliases,UserAliases,2,1,0
BulletJournal,com.bulletjournal.redis.models,UserAliases,UserAliases,4,1,2
BulletJournal,com.bulletjournal.redis.models,UserAliases,getUsername,3,1,0
BulletJournal,com.bulletjournal.redis.models,UserAliases,setUsername,3,1,1
BulletJournal,com.bulletjournal.redis.models,UserAliases,getAliases,3,1,0
BulletJournal,com.bulletjournal.redis.models,UserAliases,setAliases,3,1,1
BulletJournal,com.bulletjournal.redis.models,Etag,Etag,2,1,0
BulletJournal,com.bulletjournal.redis.models,Etag,Etag,4,1,3
BulletJournal,com.bulletjournal.redis.models,Etag,Etag,4,1,3
BulletJournal,com.bulletjournal.redis.models,Etag,Etag,4,1,2
BulletJournal,com.bulletjournal.redis.models,Etag,getIndex,3,1,0
BulletJournal,com.bulletjournal.redis.models,Etag,setIndex,3,1,1
BulletJournal,com.bulletjournal.redis.models,Etag,setIndex,3,1,2
BulletJournal,com.bulletjournal.redis.models,Etag,setIndex,3,1,2
BulletJournal,com.bulletjournal.redis.models,Etag,getUsername,5,2,0
BulletJournal,com.bulletjournal.redis.models,Etag,setUsername,6,3,1
BulletJournal,com.bulletjournal.redis.models,Etag,getType,5,2,0
BulletJournal,com.bulletjournal.redis.models,Etag,setType,6,3,1
BulletJournal,com.bulletjournal.redis.models,Etag,getEtagType,3,1,0
BulletJournal,com.bulletjournal.redis.models,Etag,getEtag,3,1,0
BulletJournal,com.bulletjournal.redis.models,Etag,setEtag,3,1,1
BulletJournal,com.bulletjournal.redis.models,BankAccountBalance,BankAccountBalance,2,1,0
BulletJournal,com.bulletjournal.redis.models,BankAccountBalance,BankAccountBalance,4,1,2
BulletJournal,com.bulletjournal.redis.models,BankAccountBalance,getId,3,1,0
BulletJournal,com.bulletjournal.redis.models,BankAccountBalance,setId,3,1,1
BulletJournal,com.bulletjournal.redis.models,BankAccountBalance,getBalance,3,1,0
BulletJournal,com.bulletjournal.redis.models,BankAccountBalance,setBalance,3,1,1
BulletJournal,com.bulletjournal.redis.models,ShareItemIds,ShareItemIds,2,1,0
BulletJournal,com.bulletjournal.redis.models,ShareItemIds,ShareItemIds,5,1,3
BulletJournal,com.bulletjournal.redis.models,ShareItemIds,getScrollId,3,1,0
BulletJournal,com.bulletjournal.redis.models,ShareItemIds,getSharedTaskIds,3,1,0
BulletJournal,com.bulletjournal.redis.models,ShareItemIds,setSharedTaskIds,3,1,1
BulletJournal,com.bulletjournal.redis.models,ShareItemIds,getExpiration,3,1,0
BulletJournal,com.bulletjournal.redis.models,ShareItemIds,getSharedNoteIds,3,1,0
BulletJournal,com.bulletjournal.redis.models,ShareItemIds,setSharedNoteIds,3,1,1
BulletJournal,com.bulletjournal.redis.models,ShareItemIds,setExpiration,3,1,1
BulletJournal,com.bulletjournal.redis.models,ShareItemIds,setScrollId,3,1,1
